BRAND,PRODUCT NAME,PRODUCT DESCRIPTION,SKU CODE,VARIANT NAME,VARIANT DESCRIPTION,HSN,GST %,Sale Price,Total Price(Sale Price + GST),MRP,CATEGORY
Desi Utthana,Crystal Sea Salt,Crystal Sea Salt,CAD045,,"",-,0.0,28.0,28.0,0.0,Home Needs
Desi Utthana,Cowpea White,Cowpea White,CAD042,,"",-,0.0,54.0,54.0,0.0,Home Needs
Desi Utthana,Cowpea Red  Desi,Cowpea Red  Desi,CAD040,,"",-,0.0,54.0,54.0,0.0,Home Needs
Desi Utthana,Cashew Nut( 1 St Grade),Cashew Nut( 1 St Grade),CAD023,,"",-,0.0,135.0,135.0,0.0,Home Needs
Desi Utthana,Black Pepper,Black Pepper,CAD015,,"",-,0.0,62.0,62.0,0.0,Home Needs
Desi Utthana,Bengal Gram Red Desi,Bengal Gram Red Desi,CAD012,,"",-,0.0,77.0,77.0,0.0,Home Needs
Desi Utthana,Avalakki white thik,Avalakki White Thik,CAD008,,"",-,0.0,43.0,43.0,0.0,Home Needs
Desi Utthana,Avalakki red thik,Avalakki Red Thik,CAD006,,"",-,0.0,53.0,53.0,0.0,Home Needs
Desi Utthana,Wheat Floor 1 Kg Desi,Wheat Floor 1 Kg Desi,CAC014,,"",-,0.0,56.0,56.0,0.0,Home Needs
Desi Utthana,Sonamasuri  Polish,Sonamasuri  Polish,CAA036,,"",-,0.0,73.0,73.0,0.0,Home Needs
